type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e4-0021-02,Netherlands,TA-PDF: Manufacturing mark,belegt,Smart Tachograph G2 cards for The Netherlands,G2.1,Card - Smart Tachograph [Platform id 089233 on applet version 416304] JRC_DTLab/30-128/2019,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e4-0021-02.pdf,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e5-0002-01,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid204,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-521 Eıt datum/Your date Er beteckning/Your ID 2020-01-20 1221_1012-990181 01 Till: (To:) Stoneridge Electronics
e1-84-25,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,VU - DTCO 1381 Release 3.0a N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid203,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt ze DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e2-42,Malta,JRC-Kartenname,belegt,Card - Carte Tachygraphique G2 x Malta JRC_DTLab/A3-118/50-125/2019,G2.1,Card - Carte Tachygraphique G2 x Malta JRC_DTLab/A3-118/50-125/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid205,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-186-00,Germany,eNN-Praefix (e1),Annahme,,G2.1,Paper - 030 000 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid200,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-210-00,Germany,eNN-Praefix (e1),Annahme,,G2.1,Paper - 030 100 N. A.,https://dtc.jrc.ec.europa.eu/getFile_wocid201,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-0008-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho NA,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0008-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt 4) LS DE-24932 Flensburg
e1-0009-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho Simple NA,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0009-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt
e1-0008-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho NA,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0008-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt Aid LS DE-24932 Flansburg
e1-0009-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho Simple NA,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0009-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt A 6 DE-24932 Flensburg
e5-0100-v02,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,MS - TACH3 - HW v02 / SW v03 N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0100-v02.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV2019-6134 Erl datum/Your date Erbdd('llngilYaur lD 201s-11-12 Application of
e5-0370-00,Lithuania,JRC-Kartenname,belegt,Card - Smart Tachograph Card G2 for Lithuania 1.0 JRC_DTLab/A3-118/2018,G2.1,Card - Smart Tachograph Card G2 for Lithuania 1.0 JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid199,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,"TSV 2019-2138 Ert datum/Your date Er beteckning/Your ID 2019-04-25 Application Till: (To:) Gemalto Oy Myllynkivenkuja 4,"
e5-0100-v01,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,MS - TACH3 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid197,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,"TSV 2018-559 Er betedning/Your lD Application of type I (4, approval TiII: (To:) LESIKAR, a.s. Vancurova2904 CZ-390 01 T"
e1-84-03,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - DTCO 1381 JRC_DTLab/A1-119/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid196,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
